,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.17169950497977607,69.94163107872009
1,0.1,0.0025,0.75,0.16713410361756048,70.14705395698547
2,0.1,0.0025,0.75,0.17447728275755384,70.13613533973694
3,0.1,0.0025,1.0,0.16525047886836922,69.9315140247345
4,0.1,0.0025,1.0,0.18142172720199828,69.35133981704712
5,0.1,0.0025,1.0,0.17169950497977607,69.07939505577087
6,0.1,0.0025,1.25,0.16852299250644937,69.51055407524109
7,0.1,0.0025,1.25,0.1800328383131094,69.76508903503418
8,0.1,0.0025,1.25,0.17864394942422052,74.58484888076782
9,0.1,0.003,0.75,0.16852299250644937,47.5287401676178
10,0.1,0.003,0.75,0.17742172720199828,47.19038510322571
11,0.1,0.003,0.75,0.1646393677572581,46.57820796966553
12,0.1,0.003,1.0,0.16852299250644937,46.53781199455261
13,0.1,0.003,1.0,0.16852299250644937,49.72853088378906
14,0.1,0.003,1.0,0.16852299250644937,47.80956172943115
15,0.1,0.003,1.25,0.16852299250644937,47.92096519470215
16,0.1,0.003,1.25,0.18142172720199828,46.06234884262085
17,0.1,0.003,1.25,0.16852299250644937,47.27783727645874
18,0.1,0.0035,0.75,0.16475506053533162,35.03325581550598
19,0.1,0.0035,0.75,0.16852299250644937,35.426734924316406
20,0.1,0.0035,0.75,0.16852299250644937,37.47870993614197
21,0.1,0.0035,1.0,0.16852299250644937,38.105010747909546
22,0.1,0.0035,1.0,0.16852299250644937,38.19860005378723
23,0.1,0.0035,1.0,0.16745833503951518,39.75148415565491
24,0.1,0.0035,1.25,0.17864394942422052,41.2795991897583
25,0.1,0.0035,1.25,0.16852299250644937,39.46399402618408
26,0.1,0.0035,1.25,0.16852299250644937,39.128637075424194
