,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.003,1,0.1572192348115693,0.0016418883410793533,"[20.753709077835083, 21.173965215682983, 19.661784172058105]"
1,0.003,2,0.16133482931356893,0.003459150446170194,"[19.400463104248047, 19.544445991516113, 19.83654808998108]"
2,0.003,3,0.17546364194750422,0.010575815964884208,"[18.85972785949707, 19.104026079177856, 18.55810284614563]"
3,0.005,1,0.1627184557310269,0.003724738703434581,"[6.4999680519104, 6.546521186828613, 6.484966278076172]"
4,0.005,2,0.22409659567433615,0.003947762756053987,"[6.3681721687316895, 6.35925817489624, 6.415099143981934]"
5,0.005,3,0.27152799578990156,0.010936905970543262,"[6.3758697509765625, 6.425580978393555, 6.4249937534332275]"
6,0.007,1,0.2585650328269386,0.01545603082582616,"[3.093416929244995, 3.0995540618896484, 3.0818469524383545]"
7,0.007,2,0.30023169949360523,0.004714045207910295,"[3.005115032196045, 3.0112740993499756, 2.9844250679016113]"
8,0.007,3,0.33523169949360526,0.004714045207910321,"[2.9781460762023926, 3.0093579292297363, 3.0286967754364014]"
9,0.009,1,0.3218983661602719,0.008164965809277268,"[1.7260539531707764, 1.7542099952697754, 1.7223570346832275]"
10,0.009,2,0.33856503282693856,0.004714045207910321,"[1.7015881538391113, 1.69403076171875, 1.7073557376861572]"
11,0.009,3,0.3418983661602719,0.0,"[1.7074081897735596, 1.70011305809021, 1.6880803108215332]"
