,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.003,1,0.161622570738299,0.009758670050612768,"[64.22615218162537, 65.29905366897583, 64.95263624191284]"
1,0.003,2,0.1814217272019983,2.7755575615628914e-17,"[64.71578693389893, 64.4057149887085, 63.846091985702515]"
2,0.003,3,0.20410264389937618,0.0027199658624084974,"[63.9235417842865, 63.772783041000366, 64.51818084716797]"
3,0.005,1,0.19301724229450368,0.00993766136067066,"[24.02816605567932, 23.79945707321167, 23.90150785446167]"
4,0.005,2,0.2707662045567946,0.005713258521931165,"[23.92095422744751, 23.847705125808716, 23.743925094604492]"
5,0.005,3,0.30706250085309095,0.007924102904280665,"[23.935739994049072, 23.766192197799683, 23.759392023086548]"
6,0.007,1,0.30178159507527674,0.0066177438320620926,"[11.706065893173218, 11.816895008087158, 11.62279987335205]"
7,0.007,2,0.3270625008530909,0.004503297844575031,"[11.663254737854004, 11.655158042907715, 11.728659868240356]"
8,0.007,3,0.33901007329757177,0.002113813937203183,"[11.78504228591919, 11.772400856018066, 11.838607788085938]"
9,0.009,1,0.339455113768205,0.0017276403345808007,"[6.929521083831787, 6.912583351135254, 6.99058723449707]"
10,0.009,2,0.339455113768205,0.0017276403345808007,"[7.034024000167847, 7.003541946411133, 6.987410068511963]"
11,0.009,3,0.3406767399642385,0.0017276403345808007,"[6.883663177490234, 6.926411151885986, 7.0935752391815186]"
