epsilon_0,noise,mean tune error,std tune error
0.003,1,0.09973409425451348,0.006800714790299412
0.003,2,0.07063713499382542,0.01283326816160876
0.003,3,0.061473616681645145,0.01741614729969781
0.005,1,0.03639278060841469,0.009204997762679063
0.005,2,0.051345329254096295,0.004258084287708734
0.005,3,0.028486177977189813,0.006304966740603299
0.007,1,0.062147150221348646,0.019696286125612913
0.007,2,0.04241681794812297,0.014145153576140249
0.007,3,0.051046094208536376,0.016182256075735157
0.009,1,0.05892933677299592,0.005390193324547613
0.009,2,0.04658415571297927,0.004764933184846131
0.009,3,0.03448855493223046,0.005681148182675842
