,workclass,education-num,marital-status,occupation,relationship,race,sex,native-country,income>50K
0,2,7,6,8,5,3,1,40,0
1,3,15,0,12,1,0,0,19,0
2,0,4,3,11,2,0,1,17,0
3,5,6,3,7,4,3,0,41,1
4,2,15,2,9,3,1,1,41,0
5,4,14,4,6,3,1,0,38,0
6,2,12,2,9,3,0,1,36,1
7,7,2,3,14,0,3,0,12,0
8,2,8,2,1,5,0,0,4,0
9,2,1,2,6,5,3,1,27,0
10,4,15,6,4,5,4,0,18,0
11,6,0,4,9,0,0,0,15,0
12,2,5,5,3,1,1,0,18,0
13,5,6,4,2,0,2,1,7,0
14,5,2,3,4,0,3,1,40,0
15,6,14,2,7,5,3,1,12,0
16,2,15,6,12,1,3,1,2,0
17,8,11,1,14,4,4,1,0,0
18,4,9,3,1,4,2,1,30,0
19,4,1,5,12,5,4,0,7,0
20,1,14,0,1,4,4,1,35,0
21,1,5,0,7,1,1,0,7,0
22,0,2,4,12,4,1,1,7,0
23,7,13,5,6,4,0,0,22,0
24,3,4,0,11,0,3,0,10,0
25,1,0,6,13,2,3,1,41,0
26,3,11,3,1,3,1,1,32,0
27,2,8,6,10,4,2,0,2,0
28,7,7,1,14,2,4,0,10,0
29,5,1,6,12,2,3,0,1,0
30,7,6,4,12,0,4,1,28,0
31,3,13,3,7,3,4,0,41,0
32,1,10,3,13,1,2,0,36,0
33,4,9,0,8,0,0,1,34,0
34,5,12,3,4,5,0,1,7,1
35,4,9,2,9,5,0,1,23,0
36,5,15,5,6,0,3,1,41,0
37,8,14,1,11,0,0,0,25,0
38,8,13,4,6,2,4,1,0,0
39,2,0,0,6,1,4,0,26,0
40,0,5,2,12,5,3,1,40,1
41,8,15,6,14,4,0,0,26,0
42,6,15,5,5,0,2,1,26,0
43,0,0,3,2,3,4,1,36,0
44,5,7,3,12,4,0,0,34,0
45,4,12,4,0,1,3,0,2,0
46,7,15,1,14,0,4,0,10,0
47,6,14,0,2,1,1,1,25,0
48,5,0,4,4,0,1,1,7,0
49,8,12,3,6,5,4,1,3,0
50,3,13,0,14,3,1,0,27,1
51,8,7,1,1,2,2,1,7,0
52,5,6,2,14,0,0,0,5,0
53,1,0,5,7,5,3,1,15,0
54,4,7,5,2,3,3,1,23,0
55,6,11,3,10,3,3,1,32,0
56,3,12,5,7,1,2,0,3,0
57,3,14,6,8,1,1,1,10,0
58,1,14,1,1,1,3,0,1,0
59,5,11,1,10,0,1,1,11,0
60,0,12,4,5,4,2,1,39,0
61,1,13,4,7,4,0,1,14,0
62,2,11,1,3,2,4,1,3,0
63,2,11,2,5,5,2,0,20,0
64,1,13,0,7,5,4,0,8,0
65,1,5,3,6,3,3,1,24,1
66,3,8,3,12,3,2,0,9,0
67,7,4,1,6,1,0,1,10,0
68,4,14,2,3,2,0,1,7,1
69,8,5,2,6,4,2,0,41,0
70,8,7,6,8,5,4,0,20,0
71,2,7,6,12,1,1,0,34,1
72,3,13,3,9,2,4,1,40,0
73,2,7,4,13,2,4,1,40,0
74,6,14,1,14,3,4,0,15,1
75,0,12,4,9,2,0,0,36,0
76,7,13,4,11,5,4,1,27,0
77,7,8,1,13,0,0,0,12,0
78,7,15,6,2,5,3,1,11,0
79,8,10,2,14,5,2,1,13,1
80,3,9,5,9,2,4,1,23,0
81,5,2,6,8,3,4,1,27,0
82,5,3,2,10,2,1,1,0,0
83,3,15,3,10,5,1,1,13,0
84,3,2,0,14,1,1,1,29,0
85,6,3,0,4,0,0,0,13,0
86,1,6,2,11,2,1,0,28,0
87,4,13,3,1,4,1,0,13,0
88,6,11,2,11,4,0,0,38,0
89,1,5,0,12,0,3,0,5,0
90,8,4,4,10,0,2,0,11,1
91,6,3,2,7,0,4,1,14,1
92,8,4,1,1,4,1,0,14,1
93,0,14,0,3,2,2,1,0,0
94,0,2,0,11,2,4,0,0,0
95,7,0,0,2,2,3,1,0,0
96,1,10,0,5,2,0,0,23,0
97,3,7,6,1,5,1,1,21,0
98,2,0,5,7,3,3,1,10,0
99,1,1,3,9,5,2,1,6,0
100,6,0,2,13,1,4,1,28,1
101,1,4,3,6,2,0,0,30,0
102,0,11,1,14,1,0,1,17,1
103,0,11,0,3,2,0,1,34,0
104,1,14,0,13,1,1,0,28,0
105,2,4,0,9,4,4,1,21,0
106,5,3,1,0,0,4,1,26,0
107,5,11,0,1,5,4,1,17,0
108,0,4,4,1,3,0,1,28,1
109,0,13,6,7,3,0,1,2,0
110,5,7,5,9,0,0,0,2,0
111,2,6,1,5,5,3,1,19,0
112,0,9,3,0,2,0,0,39,0
113,8,9,6,11,1,0,1,12,1
114,7,8,2,4,2,2,1,37,0
115,1,15,0,7,2,2,0,0,0
116,1,10,5,10,1,0,1,14,1
117,0,14,1,7,5,0,1,12,0
118,3,15,2,14,3,0,0,20,0
119,6,5,0,4,2,0,1,0,0
120,0,13,0,10,2,0,1,0,0
121,0,15,0,11,2,0,1,0,0
122,7,14,0,11,2,1,0,0,0
123,0,0,0,12,2,0,0,16,0
124,3,0,0,1,4,2,0,19,0
125,0,8,3,3,2,0,1,36,1
126,1,9,1,14,4,1,1,24,0
127,4,11,3,7,5,1,0,37,0
128,0,8,6,2,2,1,0,37,0
129,0,2,2,5,0,0,1,4,0
130,7,1,6,2,5,3,0,28,0
131,6,9,0,12,2,0,1,0,0
132,0,6,0,4,2,0,1,0,0
133,6,11,0,10,2,0,0,11,1
134,4,11,3,12,0,1,0,17,0
135,5,0,3,8,4,0,0,17,0
136,7,11,0,6,2,2,1,0,1
137,0,5,0,7,2,0,1,0,1
138,0,1,0,1,2,0,1,1,0
139,1,8,0,0,2,3,1,0,0
140,4,13,0,13,2,0,0,0,1
141,1,8,3,3,1,1,1,31,0
142,1,6,5,4,3,1,1,13,0
143,8,6,1,4,2,1,1,20,0
144,0,6,0,3,2,0,1,0,1
145,6,3,0,13,2,3,0,34,0
146,5,5,4,11,2,1,1,9,0
147,5,3,0,1,4,4,1,9,0
148,0,8,2,8,2,0,1,29,0
149,5,2,3,10,3,1,0,21,0
150,6,11,0,0,2,0,1,38,0
151,0,5,3,10,5,3,0,24,0
152,8,0,1,0,2,2,1,17,0
153,0,13,1,5,0,0,1,36,0
154,5,5,4,14,5,1,1,24,0
155,8,14,2,3,4,2,1,12,0
